Company Name,Total Interns,Employees,Address,Town,State,Zip,Sector
"1366 Technologies, Inc.",10,55,6 Preston Ct,Bedford,MA,1730,Solar
180 South Solar,1,4,"2 Merrimack Street, 3rd Floor",Haverhill,MA,1830,Solar
"24M Technologies, Inc.",34,148,130 Brookline Street,Cambridge,MA,2139,Other
"2Witech Solutions, LLC",4,3,100 School Street,Andover,MA,1810,Water Technology
"360Chestnut, Inc.",22,6,99 Winchester St # 1,Brookline,MA,2446,Energy Efficiency
"621 Energy, LLC",13,6,"152 Commonwealth Avenue, Suite 21",Concord,MA,1742,Solar
"7AC Technologies, Inc.",20,17,"100 Cummings Center, Suite 265-G",Beverly,MA,1915,Energy Efficiency
A Better City Initiative,21,14,14 Beacon Street Suite 402,Boston,MA,2108,Green Building
"A9 Green/Total Green Energy Solution, LLC",37,11,"329 Massachusetts Ave, Unit 3",Lexington,MA,2420,Energy Efficiency
Abode Energy Management LLC,26,30,555 Virginia Rd Suite 221,Concord,MA,1742,Green Building
Absolute Green Energy Corporation,3,4,94 Gardner Street,Worcester,MA,1610,Solar
Acadia Center,1,6,8 Summer Street PO Box 583,Rockport,ME,4856,Energy Efficiency
"Accelerate Wind, Inc.",1,1,"911 Washington Avenue, Suite 501",Saint Louis,MO,63101,Wind
Accept Solar,3,7,"115 Cedar St, M1",Milford,MA,1757,Solar
"Aclarity, Inc.",20,25,241 Francis Ave,Mansfield,MA,2048,Water Technology
ACT Institute,65,12,444 Somerville Ave,Somerville,MA,2143,Services and Support
Active Surfaces Inc.,6,8,34 Commerce Way,Woburn,MA,1801,Solar
"ACTnano, Inc.",1,14,85 Bolton Street STE,Cambridge,MA,2140,Alternative Transportation
Adappt Intelligence,4,1,"1 Mossland St, Apt 1",Somerville,MA,2144,"Energy Efficiency,Green Building,Services and Support"
"AdaptiveAlgo Systems, Inc.",27,2,"Regus Suite 200, 529 Main St",Charlestown,MA,2129,Services and Support
"Adaviv, Inc.",17,16,444 Somerville Avenue,Somerville,MA,2143,Energy Efficiency
Addilat,12,4,70 Conn Street,Woburn,MA,1801,"Energy Efficiency,Green Building"
ADL Ventures,24,16,"1900 South Norfolk Street, Suite 350",San Mateo,CA,94403,"Alternative Transportation,Energy Efficiency,Green Building,Services and Support,Smart Grid,Solar,Water Technology,Other"
"Advanced Energy Intelligence, LLC",1,2,120 Hartwell Rd,Carlisle,MA,1741,"Conservation,Demand Response,Energy Efficiency,Green Building,Services and Support,Water Technology"
Advanced Power (NA) Inc.,2,60,"155 Federal Street, 17th Floor",Boston,MA,2110,Other
"Advanced Renewable Concept Industries, INC.",4,2,255 Lakeside Drive,Bridgewater,MA,2324,Wind
Aeolus Building Efficiency,9,1,166 Melrose St,Auburndale,MA,2466,Energy Efficiency
"Aeronautica Windpower, LLC",11,3,11 Resnik Road,Plymouth,MA,2360,Wind
Aeroshield Materials,8,7,154 Calvary St. Ste 101,Waltham,MA,2453,Green Building
